					
	Korean	Definition	English	Context	Hashtags
	성큼	발이나 다리를 가볍게 높이 들고 크게 떼어 놓는 모양	STRIDE STEP		#모션 #소리
	소근(소근)	남이 알아듣지 못하도록 작은 목소리로 자꾸 조용히 이야기하는 소리를 나타내는 말	WHISPER (MUMBLE) (MUTTER)		#소리
	소오름	춥거나 무섭거나 징그러울 때, 살갗이 오그라들며 겉에 좁쌀 같은 것이 도톨도톨하게 돋는 것, *Origin : 소름	SHIVER  GOOSEBUMPS CHILLS		#감정
	속닥(속닥)	남이 알아듣지 못하도록 작은 목소리로 은밀하게 자꾸 이야기하는 소리를 나타내는 말	WHISPER (MUMBLE) (MUTTER)		#소리
	수군 수군	남이 알아듣지 못하도록 낮은 목소리로 자꾸 조용히 이야기하는 소리를 나타내는 말	WHISPER		#소리
	술렁	자꾸 어수선하게 소란이 이는 모양	CHATTER MURMUR		#군중 #소리
	쉭	공기나 입김 따위가 좁은 구멍으로 새어 나오는 소리	HISS		#동물 #소리
	쉿	공기나 입김 따위가 좁은 구멍으로 새어 나오는 소리	FIZZLE (CRACKLE) (HSSS)		#입 #소리
	슈욱	짧게 나는(도착점이 있는) 소리	SWOOSH SWOOP SWISH		#소리 #비행
	슈웅	멀리 날아가는 소리	SWOOSH SWOOP SWISH		#소리 #비행
	슉	빠르고 조금 크게 한 번 돌거나 휘는 모양	FWIP SHWP VANISH FLASH		#행동 #모션
	스륵	서 있다가 중심을 잃고 바닥에 쓰러지다	SLUMP	try to avoid using "slide"	#작은모션 #몸
	스릉	물건이 쓸리면서 시원스럽게 울리는 소리	DRAW SLIDE SCHWING (VWOOM - MAGIC SWORD) SHING		#소리
	스릉	물건이 쓸리면서 시원스럽게 울리는 소리	SHEATHE/SCHWING CLACK (METAL SHEATH)		#소리
	스멀	연기나 냄새 따위가 조금씩 위로 올라가는 모양	WAFT		#느낌 #상태
	스윽	척 내닫아 나서거나 빨리 지나가는 모양	APPEAR APPROACH STEP WHOOSH (SLIP)		#조용함 #모션
	스윽	(사람이 어떤 곳을 어떤 색이나 칠감으로)고루 묻히거나 발라 꾸미다	SWIPE SWISH BRUSH		#조용함 #모션
	스윽	거죽에 묻은 먼지나 때 따위를 없애거나 윤기를 내려고 문지르거나 씻거나 하다	WIPE		#작은모션
	스윽	넌지시 말을 건네거나 행동하는 모양	REACH LEAN APPEAR WIPE	do not use "slide"	#조용함 #모션
	스윽	서 있다가 중심을 잃고 바닥에 쓰러지다	SLUMP	try to avoid using "slide"	#작은모션 #몸
	스윽	물건이 쓸리면서 시원스럽게 울리는 소리	SHEATHE/SCHWING CLACK (METAL SHEATH)		#소리
	스윽 	칼이나 톱으로 잘라 내거나 토막을 내다	SLASH SLICE SWOOSH SWISH		#타격
	스응	물건이 쓸리면서 시원스럽게 울리는 소리	SHEATHE/SCHWING CLACK (METAL SHEATH)		#소리
	슥	(조용히) 지켜보다	GLANCE TURN (PEEK) (GLIMPSE)		#조용함 #모션
	슥	기울이다	LEAN TILT		#조용함 #모션
	슥	물건을 아래로 옮겨 두는 소리	DROP PLACE KTUNK THUD (If heavy)		#행동 #모션
	슥	몸집이 큰 사람이 갑자기 힘없이 주저앉거나 쓰러지는 소리	FLOP SIT SLIDE THUD		#조용함 #모션 #몸
	슥	눕거나 앉아 있다가 갑자기 큰 동작으로 급하게 일어나는 모양	RISE JOLT SPRING		#모션 #빠름 #몸
	슥	손으로 자꾸 살살 쓸어 어루만지다	RUB RUFFLE GRIND (with knuckles)		#스킨쉽 #모션
	슥	무엇이 갑자기 지나가거나 떠오르는 모양	AVERT AVOID TURN (DISMISSED)		#작은모션
	슥	넌지시 말을 건네거나 행동하는 모양	REACH LEAN APPEAR WIPE	do not use "slide"	#조용함 #모션
	슬금	눈치를 보아 가며 남들이 모르게 슬그머니 어떤 행동을 자꾸 하는 모양을 나타내는 말	CRAWL (ON THE GROUND) CREEP SNEAK TIPTOE		#작은모션 #행동
	시끌	크게 떠드는 소리로 매우 시끄럽다	CHATTER		#군중 #소리 #큰소리
	시큰	뼈마디 따위가 심하게 자꾸 시리고 쑤시는 느낌을 나타내는 말	CRACK CRICK (CRACKING) PANG (SUDDEN PAIN) SORE STIFF		#고통 #느낌 #상태
	싱긋	눈과 입을 조금 움직이며 소리 없이 부드럽고 가볍게 웃는 모양	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)		#웃음 #밝음
	싸늘	부드럽지 않고 아주 차가운 느낌이 있다	AWKWARD AWKWARD SILENCE		#감정 #느낌
	싸아	마음에 활기가 없음	GLOOM		#감정
	싸아아	태도 따위를 갑자기 완전히 바꾸는 모양을 나타내는 말.	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH		#모습 #감정 #냉소
	쌔근쌔근	사람이나 동물이 깊이 잠든 상태에서 코를 골듯이 크게 숨쉬는 소리	SNOOZE BREATHE ZZZZ		#호흡 #모습
	쌔액	숨을 매우 가쁘고 고르지 않게 쉬는 소리	WHEEZE		#호흡 #모습
	쌕쌕	사람이나 동물이 깊이 잠든 상태에서 코를 골듯이 크게 숨쉬는 소리	SNOOZE BREATHE ZZZZ		#호흡 #모습
	쏴아	비바람이 세차게 칠 때 나는 소리를 나타내는 말	SHWAAAA WHOOSH		#액체 #소리
	쓰담	손으로 자꾸 살살 쓸어 어루만지다	PAT STROKE PET WHACK (if hard) RUB RUFFLE GRIND (with knuckles)		#스킨쉽 #모션
	씨익	소리 없이 크게 한번 싱겁게 웃는 모양	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)		#웃음 #밝음
	씨익씨익	숨을 매우 가쁘고 거칠게 쉬는 소리	NEIGH, WHINNY SNORT) (HUFF)		#호흡 #소리
	씩 씩	숨을 매우 가쁘고 거칠게 쉬는 소리를 나타내는 말	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH		#모습 #감정 #화남
